#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Struktur|Struktur


1-1	0-3	Die	Einleitung[1]	
1-2	4-26	Treibhausgasemissionen	Einleitung[1]	
1-3	27-30	des	Einleitung[1]	
1-4	31-45	Energiesektors	Einleitung[1]	
1-5	46-52	sollen	Einleitung[1]	
1-6	53-62	drastisch	Einleitung[1]	
1-7	63-72	reduziert	Einleitung[1]	
1-8	73-79	werden	Einleitung[1]	
1-9	79-80	,	Einleitung[1]	
1-10	81-83	um	Einleitung[1]	
1-11	84-87	die	Einleitung[1]	
1-12	88-104	Klimaneutralität	Einleitung[1]	
1-13	105-107	zu	Einleitung[1]	
1-14	108-117	erreichen	Einleitung[1]	
1-15	117-118	.	Einleitung[1]	

2-1	119-122	Die	Einleitung[1]	
2-2	123-137	Politikerinnen	Einleitung[1]	
2-3	138-141	und	Einleitung[1]	
2-4	142-151	Politiker	Einleitung[1]	
2-5	152-157	eines	Einleitung[1]	
2-6	158-165	Bezirks	Einleitung[1]	
2-7	166-168	in	Einleitung[1]	
2-8	169-184	Norddeutschland	Einleitung[1]	
2-9	185-192	fordern	Einleitung[1]	
2-10	193-198	daher	Einleitung[1]	
2-11	198-199	,	Einleitung[1]	
2-12	200-203	den	Einleitung[1]	
2-13	204-217	Energiebedarf	Einleitung[1]	
2-14	218-221	des	Einleitung[1]	
2-15	222-229	Bezirks	Einleitung[1]	
2-16	230-241	vollständig	Einleitung[1]	
2-17	242-247	durch	Einleitung[1]	
2-18	248-259	erneuerbare	Einleitung[1]	
2-19	260-268	Energien	Einleitung[1]	
2-20	269-279	abzudecken	Einleitung[1]	
2-21	279-280	.	Einleitung[1]	

3-1	282-287	Somit	Einleitung[1]	
3-2	288-294	stellt	Einleitung[1]	
3-3	295-299	sich	Einleitung[1]	
3-4	300-303	die	Einleitung[1]	
3-5	304-309	Frage	Einleitung[1]	
3-6	310-313	was	Einleitung[1]	
3-7	314-317	als	Einleitung[1]	
3-8	318-332	Energiewandler	Einleitung[1]	
3-9	333-342	gefördert	Einleitung[1]	
3-10	343-349	werden	Einleitung[1]	
3-11	350-354	soll	Einleitung[1]	
3-12	354-355	?	Einleitung[1]	
3-13	355-356	.	Einleitung[1]	

4-1	361-362	.	Einleitung[1]	
