#FORMAT=WebAnno TSV 3.3


1-1	0-3	Ich	
1-2	4-7	bin	
1-3	8-11	für	
1-4	12-15	den	
1-5	16-29	Energieträger	
1-6	30-41	Wasserstoff	
1-7	41-42	,	
1-8	43-45	da	
1-9	46-49	die	
1-10	50-63	Energiedichte	
1-11	64-66	an	
1-12	67-71	gibt	
1-13	71-72	,	
1-14	73-76	wie	
1-15	77-81	viel	
1-16	82-89	Energie	
1-17	90-93	pro	
1-18	94-99	Masse	
1-19	100-105	eines	
1-20	106-113	Stoffes	
1-21	114-117	bzw	
1-22	117-118	.	

2-1	120-125	Eines	
2-2	126-133	Systems	
2-3	134-145	gespeichert	
2-4	146-152	werden	
2-5	153-157	kann	
2-6	157-158	.	

3-1	160-163	Die	
3-2	164-177	Energiedichte	
3-3	178-181	ist	
3-4	182-185	der	
3-5	186-197	maßgebliche	
3-6	198-204	Faktor	
3-7	205-208	für	
3-8	209-212	die	
3-9	213-218	Masse	
3-10	219-224	eines	
3-11	225-241	Energiespeichers	
3-12	241-242	.	

4-1	244-246	Je	
4-2	247-252	höher	
4-3	253-256	die	
4-4	257-271	massenbezogene	
4-5	272-285	Energiedichte	
4-6	285-286	(	
4-7	286-291	120MJ	
4-8	291-292	/	
4-9	292-294	kg	
4-10	294-295	)	
4-11	295-296	,	
4-12	297-302	desto	
4-13	303-307	mehr	
4-14	308-315	Energie	
4-15	316-320	kann	
4-16	321-324	bei	
4-17	325-333	gleicher	
4-18	334-339	Masse	
4-19	340-351	gespeichert	
4-20	352-358	werden	
4-21	358-359	.	

5-1	361-364	Der	
5-2	365-372	Einsatz	
5-3	373-376	von	
5-4	377-390	Energieträger	
5-5	391-394	mit	
5-6	395-400	einer	
5-7	401-408	höheren	
5-8	409-422	Energiedichte	
5-9	423-429	könnte	
5-10	430-435	somit	
5-11	436-437	u	
5-12	437-438	.	

6-1	440-441	A	
6-2	441-442	.	

7-1	444-447	Die	
7-2	448-460	Konstruktion	
7-3	461-464	von	
7-4	465-470	Autos	
7-5	471-474	mit	
7-6	475-485	geringerer	
7-7	486-491	Masse	
7-8	492-496	oder	
7-9	497-505	größerer	
7-10	506-516	Reichweite	
7-11	517-528	ermöglichen	
7-12	528-529	.	

8-1	531-534	Mit	
8-2	535-546	Wasserstoff	
8-3	547-557	betriebene	
8-4	558-563	Autos	
8-5	564-570	werden	
8-6	571-574	nur	
8-7	575-578	von	
8-8	579-586	einigen	
8-9	587-594	wenigen	
8-10	595-606	Herstellern	
8-11	607-610	und	
8-12	611-613	in	
8-13	614-617	nur	
8-14	618-622	sehr	
8-15	623-633	begrenzter	
8-16	634-640	Anzahl	
8-17	641-657	weiterentwickelt	
8-18	658-661	und	
8-19	662-672	produziert	
8-20	672-673	.	

9-1	675-677	In	
9-2	678-689	Deutschland	
9-3	690-696	werden	
9-4	697-706	insgesamt	
9-5	707-710	nur	
9-6	711-715	zwei	
9-7	716-728	verschiedene	
9-8	729-736	Modelle	
9-9	737-745	verkauft	
9-10	745-746	.	

10-1	748-753	Viele	
10-2	754-764	Hersteller	
10-3	765-775	entwickeln	
10-4	776-783	derzeit	
10-5	784-789	keine	
10-6	790-806	Wasserstoffautos	
10-7	806-807	.	

11-1	809-817	Wichtige	
11-2	818-826	Faktoren	
11-3	827-830	für	
11-4	831-834	den	
11-5	835-842	Betrieb	
11-6	843-848	eines	
11-7	849-854	Autos	
11-8	855-859	sind	
11-9	860-866	dessen	
11-10	867-877	Reichweite	
11-11	878-881	und	
11-12	882-885	die	
11-13	886-896	Betankungs	
11-14	896-897	-	
11-15	898-901	bzw	
11-16	901-902	.	

12-1	904-913	Ladedauer	
12-2	913-914	.	

13-1	916-918	Im	
13-2	919-925	Mittel	
13-3	926-937	unternehmen	
13-4	938-946	Personen	
13-5	947-949	in	
13-6	950-961	Deutschland	
13-7	962-966	drei	
13-8	967-974	Fahrten	
13-9	975-978	pro	
13-10	979-982	Tag	
13-11	983-986	mit	
13-12	987-990	dem	
13-13	991-995	Auto	
13-14	995-996	,	
13-15	997-1002	wobei	
13-16	1003-1006	sie	
13-17	1007-1015	zwischen	
13-18	1016-1018	30	
13-19	1019-1022	bis	
13-20	1023-1025	40	
13-21	1026-1035	Kilometer	
13-22	1036-1047	zurücklegen	
13-23	1047-1048	.	

14-1	1050-1053	Nur	
14-2	1054-1056	ca	
14-3	1056-1057	.	
14-4	1059-1060	1	
14-5	1061-1062	%	
14-6	1063-1068	Aller	
14-7	1069-1080	Autofahrten	
14-8	1081-1084	ist	
14-9	1085-1091	länger	
14-10	1092-1095	als	
14-11	1096-1099	100	
14-12	1100-1109	Kilometer	
14-13	1109-1110	.	

15-1	1112-1114	Im	
15-2	1115-1121	Mittel	
15-3	1122-1126	sind	
15-4	1127-1132	Autos	
15-5	1133-1137	mehr	
15-6	1138-1141	als	
15-7	1142-1144	23	
15-8	1145-1152	Stunden	
15-9	1153-1155	am	
15-10	1156-1159	Tag	
15-11	1160-1167	geparkt	
15-12	1167-1168	,	
