#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Argument|Accuracy|Adequacy|Clarity|KriteriumJahresertragEnergiedichte|KriteriumLebensdauerVerfgbarkeit|KriteriumLokaleEmissionenGeruschemissionen|KriteriumPreisBetrieb|KriteriumSonstiges|KriteriumTreibhausgasemissionen|KriteriumWirkungsgrad|OptionA|OptionB|OptionC
#T_SP=webanno.custom.Struktur|Struktur
#T_SP=webanno.custom.StrukturTAP|TAPArgumente


1-1	0-3	Für	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-2	4-7	die	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-3	8-15	Zukunft	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-4	16-19	der	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-5	20-29	Mobilität	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-6	30-36	sollen	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-7	37-40	die	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-8	41-63	Treibhausgasemissionen	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-9	64-67	des	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-10	68-84	Personenverkehrs	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-11	85-94	drastisch	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-12	95-104	reduziert	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-13	105-111	werden	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-14	111-112	,	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-15	113-118	damit	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-16	119-122	die	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-17	123-141	Klimaneutralitätzu	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-18	142-151	erreichen	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
1-19	151-152	.	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	

2-1	154-157	Ein	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-2	158-162	Ziel	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-3	163-166	der	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-4	167-176	Politiker	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-5	177-180	und	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-6	181-195	Politikerinnen	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-7	196-199	ist	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-8	200-202	es	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-9	202-203	,	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-10	203-207	dass	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-11	208-216	Neuwagen	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-12	217-220	mit	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-13	221-226	einem	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-14	227-233	Benzin	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-15	233-234	-	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-16	235-238	und	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-17	239-242	mit	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-18	243-248	einem	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-19	249-260	Dieselmotor	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-20	261-263	ab	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-21	264-268	2035	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-22	269-277	verboten	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-23	278-284	werden	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
2-24	285-291	sollen	_	_	_	_	_	_	_	_	_	_	_	_	_	Einleitung[7]	_	
