#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Struktur|Struktur
#T_SP=webanno.custom.StrukturTAP|TAPArgumente


1-1	0-7	Welcher	Einleitung[1]	_	
1-2	8-21	Energieträger	Einleitung[1]	_	
1-3	22-25	ist	Einleitung[1]	_	
1-4	26-28	am	Einleitung[1]	_	
1-5	29-35	besten	Einleitung[1]	_	
1-6	35-36	,	Einleitung[1]	_	
1-7	37-39	um	Einleitung[1]	_	
1-8	40-43	die	Einleitung[1]	_	
1-9	44-60	Klimaneutralität	Einleitung[1]	_	
1-10	61-63	zu	Einleitung[1]	_	
1-11	64-73	erreichen	Einleitung[1]	_	
1-12	73-74	?	Einleitung[1]	_	

2-1	75-78	Das	Einleitung[1]	_	
2-2	79-82	ist	Einleitung[1]	_	
2-3	83-86	die	Einleitung[1]	_	
2-4	87-92	Frage	Einleitung[1]	_	
2-5	92-93	,	Einleitung[1]	_	
2-6	94-97	die	Einleitung[1]	_	
2-7	98-100	im	Einleitung[1]	_	
2-8	101-110	folgendem	Einleitung[1]	_	
2-9	111-115	Text	Einleitung[1]	_	
2-10	116-123	geklärt	Einleitung[1]	_	
2-11	124-130	werden	Einleitung[1]	_	
2-12	131-135	soll	Einleitung[1]	_	
2-13	135-136	.	Einleitung[1]	_	

3-1	138-141	Wir	Einleitung[1]	_	
3-2	142-147	haben	Einleitung[1]	_	
3-3	148-150	in	Einleitung[1]	_	
3-4	151-166	Norddeutschland	Einleitung[1]	_	
3-5	167-171	drei	Einleitung[1]	_	
3-6	172-185	Energieträger	Einleitung[1]	_	
3-7	186-189	zur	Einleitung[1]	_	
3-8	190-197	Auswahl	Einleitung[1]	_	
3-9	197-198	:	Einleitung[1]	_	
3-10	199-215	Windenergieparks	Einleitung[1]	_	
3-11	215-216	,	Einleitung[1]	_	
3-12	217-227	Solarparks	Einleitung[1]	_	
3-13	228-232	oder	Einleitung[1]	_	
3-14	233-237	eine	Einleitung[1]	_	
3-15	238-255	Wasserkraftanlage	Einleitung[1]	_	
3-16	255-256	.	Einleitung[1]	_	

4-1	258-266	Beginnen	Einleitung[1]	_	
4-2	267-272	werde	Einleitung[1]	_	
4-3	273-276	ich	Einleitung[1]	_	
4-4	277-280	mit	Einleitung[1]	_	
4-5	281-284	dem	Einleitung[1]	_	
4-6	285-300	Windenergiepark	Einleitung[1]	_	
4-7	301-308	gefolgt	Einleitung[1]	_	
4-8	309-312	von	Einleitung[1]	_	
4-9	313-316	dem	Einleitung[1]	_	
4-10	317-326	Solarpark	Einleitung[1]	_	
4-11	327-330	und	Einleitung[1]	_	
4-12	331-345	schlussendlich	Einleitung[1]	_	
4-13	346-349	mit	Einleitung[1]	_	
4-14	350-353	der	Einleitung[1]	_	
4-15	354-371	Wasserkraftanlage	Einleitung[1]	_	
4-16	371-372	.	Einleitung[1]	_	

5-1	374-377	Der	_	2. Data[2]	
5-2	378-386	Windpark	_	2. Data[2]	
5-3	387-390	ist	_	2. Data[2]	
5-4	391-394	ein	_	2. Data[2]	
5-5	395-405	Bauprojekt	_	2. Data[2]	
5-6	406-409	der	_	2. Data[2]	
5-7	410-419	mittleren	_	2. Data[2]	
5-8	420-431	Preisklasse	_	2. Data[2]	
5-9	432-434	14	_	2. Data[2]	
5-10	435-438	Mio	_	2. Data[2]	
5-11	438-439	.	_	2. Data[2]	

6-1	441-445	Euro	_	2. Data[2]	
6-2	445-446	.	_	2. Data[2]	

7-1	448-457	Windparks	_	_	
7-2	458-467	entstehen	_	_	
7-3	468-470	an	_	_	
7-4	471-475	Land	_	_	
7-5	476-479	und	_	_	
7-6	480-483	ein	_	_	
7-7	484-492	Windpark	_	_	
7-8	493-500	besteht	_	_	
7-9	501-504	aus	_	_	
7-10	505-509	zwei	_	_	
7-11	510-528	Windenergieanlagen	_	_	
7-12	528-529	.	_	_	

8-1	531-536	Diese	_	2. Data[3]	
8-2	537-544	Anlagen	_	2. Data[3]	
8-3	545-552	wandeln	_	2. Data[3]	
8-4	553-569	Bewegungsenergie	_	2. Data[3]	
8-5	570-573	vom	_	2. Data[3]	
8-6	574-578	Wind	_	2. Data[3]	
8-7	579-581	in	_	2. Data[3]	
8-8	582-593	elektrische	_	2. Data[3]	
8-9	594-601	Energie	_	2. Data[3]	
8-10	602-604	um	_	2. Data[3]	
8-11	604-605	,	_	2. Data[3]	
8-12	606-611	alles	_	2. Data[3]	
