IN	SPEAKER	TRANSCRIPT
00:00:00.008	SPEAKER_00	Jetzt müsste es aufnehmen.
00:00:00.728	SPEAKER_00	Ja, jetzt nimmt es auf.
00:00:02.990	SPEAKER_00	Gut.
00:00:04.209	SPEAKER_00	Ja, Magda, erstmal herzlichen Dank, dass du dich bereit erklärt hast hier für das Interview.
00:00:10.311	SPEAKER_00	Es geht ja schwerpunktmäßig um die 70er, 80er Jahre in Münster.
00:00:15.333	SPEAKER_00	Das, was da um die Frauenstraße herum passiert ist.
00:00:18.695	SPEAKER_00	Aber es geht auch darum, wie deine Lebensgeschichte ist.
00:00:22.096	SPEAKER_00	Und von daher würde ich sagen, dass wir damit mal beginnen.
00:00:26.036	SPEAKER_00	Wo und wie bist du aufgewachsen, dass du das mal erzählst.
00:00:30.771	SPEAKER_01	Ja, ich versuche das mal wieder hintereinander zu kriegen.
00:00:33.853	SPEAKER_01	Also ich komme ursprünglich aus Süddeutschland, aus dem Kreis Ravensburg.
00:00:39.054	SPEAKER_01	Ich bin da in einem kleinen Dorf groß geworden.
00:00:42.655	SPEAKER_01	Meine Eltern waren Flüchtlinge, sogenannte Donauschwaben, die sich dann nach dem Krieg da niedergelassen haben und Ja, da bin ich eigentlich groß geworden.
00:00:55.856	SPEAKER_01	Das war also nicht besonders aufregend.
00:00:57.698	SPEAKER_01	Das ist ein kleines Dorf mit vielen Bauernhöfen und wenig Möglichkeiten, so sich zu entfalten oder sich weiterzuentwickeln oder so.
00:01:08.487	SPEAKER_01	Ich fand das da schon sehr beengt alles da und sehr katholisch.
00:01:15.060	SPEAKER_01	Der sonntägliche Kirchgang war eine Pflichtübung und es war auch überhaupt nicht vorstellbar, dass man sich dem irgendwie entziehen kann.
00:01:22.867	SPEAKER_01	Das wäre nicht möglich gewesen in dem Dorf.
00:01:28.271	SPEAKER_01	Ich habe da acht Jahre Volksschule gemacht und die Möglichkeiten einer weiteren Bildung oder eine ordentliche Berufsausbildung,
00:01:40.568	SPEAKER_01	die waren auch sehr begrenzt.
00:01:43.513	SPEAKER_01	Es gab ein Gymnasium im Nachbarort.
00:01:46.537	SPEAKER_01	Aber zu der Zeit war das auch häufig so, dass überwiegend die Jungs dahin geschickt wurden.
00:01:52.578	SPEAKER_01	Die Mädchen heiraten sowieso.
00:01:54.459	SPEAKER_01	Das ist ja so das altbekannte Klischee, das da vorherrschte in den 50er Jahren.
00:01:59.563	SPEAKER_01	Und ich durfte da nicht hin.
00:02:01.105	SPEAKER_01	Das wollten deine Eltern?
00:02:03.567	SPEAKER_01	Die hielten das auch nicht für notwendig.
00:02:05.528	SPEAKER_01	Was machten die beruflich?
00:02:07.531	SPEAKER_01	Das waren, wie soll ich sagen, sogenannte einfache Leute.
00:02:12.175	SPEAKER_01	Mein Vater war gelernter Friseurmeister, hat aber da dann als Hausmeister gearbeitet in der Fabrik.
00:02:19.641	SPEAKER_01	Meine Mutter war ohne Ausbildung, hat aber auch ihr Leben lang gearbeitet da in dieser Eine Textilfabrik war das.
00:02:27.990	SPEAKER_01	Und die hatten einfach so ganz traditionelle Vorstellungen, dass die Mädels, also ich habe noch eine Schwester und einen Bruder,
00:02:36.130	SPEAKER_01	dass die Mädchen einfach gucken, dass sie möglichst bald unter die Haube kommen.
00:02:41.301	SPEAKER_01	Damit sind sie versorgt.
00:02:43.604	SPEAKER_01	Mein Bruder, der durfte aufs Gymnasium.
00:02:46.067	SPEAKER_01	Der Witz war dabei, dass der überhaupt keinen Bock drauf hatte.
00:02:51.092	SPEAKER_01	Und nach der mittleren Reife aufgehört hat dort.
00:02:54.474	SPEAKER_01	Der hat dann eine Ausbildung gemacht bei der Bundesbahn, hat aber dann später doch wieder den Dreh gekriegt und nochmal studiert.
00:03:05.658	SPEAKER_01	Und kurz und gut, er ist dann als Lehrer geendet.
00:03:11.044	SPEAKER_01	Ist jetzt auch schon in Rente.
00:03:12.727	SPEAKER_01	Und meine Schwester, bei der hat das ganz gut geklappt, wie meine Eltern das vorhatten, die ist Schneiderin geworden.
00:03:18.673	SPEAKER_01	Das ist ein Beruf, den man auch als Hausfrau wunderbar gebrauchen kann.
00:03:23.318	SPEAKER_01	Insofern war das dann ganz toll.
00:03:25.879	SPEAKER_01	Und ich musste überlegen, wie mache ich das, was mache ich und was gibt es überhaupt für Möglichkeiten, eine Ausbildung zu machen.
00:03:36.722	SPEAKER_01	Das war dann eher so, dass die einzige Stelle als Zahnarzthelferin, die war schon durch meine Freundin besetzt, die Ausbildungsstelle.
00:03:49.068	SPEAKER_01	Und ansonsten gab es eine Möglichkeit zur Verkäuferin, zur Schneiderin oder zur Friseurin.
00:03:57.032	SPEAKER_01	Ich habe mich dann für Friseur entschieden.
00:04:01.007	SPEAKER_01	Also im Sinne des Vaters auch?
00:04:03.608	SPEAKER_01	Ja, ich hielt das irgendwie, also das war schon ein bisschen aufmüpfig auch, weil das fanden alle anderen ganz furchtbar,
00:04:13.275	SPEAKER_01	in diesen Beruf zu gehen.
00:04:15.813	SPEAKER_01	Also meine Mutter war auch sehr bestrebt, Schneider und so weiter, das ist schon ganz toll.
00:04:22.257	SPEAKER_01	Oder auch vielleicht direkt in die Fabrik, weil Die Hoffnung war ja immer, dass ich sowieso möglichst bald irgendeinen Kerl nach Hause bringe.
00:04:34.550	SPEAKER_01	Da war ich glaube ich die große Enttäuschung ihres Lebens.
00:04:41.192	SPEAKER_01	Weil das überhaupt nicht so mein Streben war.
00:04:43.454	SPEAKER_01	Also so heiraten, Kinder kriegen und so, das habe ich immer ganz weit weggeschoben.
00:04:48.516	SPEAKER_01	Das war überhaupt nicht nichts, was ich irgendwie als Lebensziel verfolgt habe.
00:04:54.761	SPEAKER_01	Und ich habe dann eben die Ausbildung gemacht und... Was war das?
00:05:04.387	SPEAKER_01	Egal.
00:05:05.860	SPEAKER_01	Ich habe dann die Ausbildung gemacht und habe dann auch nach einem Jahr später oder so, ich glaube ich war 18 oder so, habe ich dann auch sofort die nächstbeste Möglichkeit genutzt,
00:05:19.850	SPEAKER_01	dem Dorf zu entkommen sozusagen.
00:05:23.601	SPEAKER_01	Und habe mir dann eine Stelle gesucht, die war in Oberbayern am Tegernsee.
00:05:27.744	SPEAKER_01	Das fand ich super toll dort, wenn ich auch den Beruf immer blöder fand.
00:05:32.685	SPEAKER_01	Also das war einfach nicht meins.
00:05:37.706	SPEAKER_01	Aber ich habe dann, es gab da immer gut die Möglichkeit, also Friseure wurden immer gesucht.
00:05:45.370	SPEAKER_01	Und von daher war das immer ganz interessant, jedes Jahr woanders hinzugehen.
00:05:49.230	SPEAKER_01	Dann war ich in Tegernsee, dann in Bad Wisse, dann in Oberstdorf, dann war ich in Österreich, in Bad Hofgastein.
00:05:56.312	SPEAKER_01	Dann dachte ich, gut, wenn du schon so einen blöden Beruf hast, dann musst du wenigstens gucken, was man damit machen kann.
00:06:04.435	SPEAKER_01	Und habe dann die Meisterprüfung gemacht und die habe ich dann, damit ich mal wieder ganz woanders hinkomme, in Oldenburg gemacht.
00:06:13.201	SPEAKER_01	Das war das absolute Kontrastprogramm.
00:06:17.363	SPEAKER_01	Und danach mit der Meisterprüfung in der Tasche habe ich dann natürlich auch eine Stelle gesucht, wo ich auch als Meisterin eingestellt wurde.
00:06:27.771	SPEAKER_01	Und da ergab sich was im Sauerland, in Breelon.
00:06:32.735	SPEAKER_01	Und in Brilon, da war ich dann anderthalb Jahre und so im Rückblick oder auch eigentlich nicht nur im Rückblick, auch in der Zeit,
00:06:41.144	SPEAKER_01	als ich dort war, fand ich das die schlimmste Zeit in meinem Leben.
00:06:47.425	SPEAKER_01	Woran lag das?
00:06:50.406	SPEAKER_01	Ich hatte das Gefühl, das ist noch deutlich enger und kleiner als das Dorf, aus dem ich komme.
00:06:58.636	SPEAKER_01	Noch deutlich.
00:06:59.317	SPEAKER_01	Also ich habe mich da wirklich nicht wohl gefühlt.
00:07:01.838	SPEAKER_01	Also das war überhaupt nicht meins.
00:07:06.062	SPEAKER_01	Und das Gute daran war aber, dass ich da eine Kundin hatte, die war Lehrerin an der Fachoberschule hier in Münster.
00:07:14.730	SPEAKER_01	Die kam aus Breelung und immer wenn die dort war, kam die zu mir und ich habe die da bedient.
00:07:20.065	SPEAKER_01	Und der hat sich da so eine gewisse Vertrautheit entwickelt, sodass ich mit der auch über solche Sachen reden konnte.
00:07:26.668	SPEAKER_01	Und der habe ich dann irgendwann mal meinen Leib geklagt und gesagt, ich kann es mir einfach nicht vorstellen, so mein Leben zu verbringen mit diesem Job.
00:07:35.370	SPEAKER_01	Und ich muss sagen, ich habe auch immer sehr vermisst, also ich war immer sehr bildungshungrig auch, ich habe immer sehr vermisst,
00:07:44.141	SPEAKER_01	mehr zu wissen, zu lernen, ein bisschen weltoffener, auch gedanklich zu werden.
00:07:52.262	SPEAKER_01	Und die hat mir dann auf jeden Fall empfohlen, ich soll mich doch da mal an der Fachoberschule bewerben, das wäre doch mal was für Gestaltung.
00:07:59.584	SPEAKER_01	Ich habe auch ein ganz gutes Händchen für so Kreatives und so.
00:08:03.987	SPEAKER_01	Und sie meinte, das wäre doch möglicherweise was für mich.
00:08:06.947	SPEAKER_01	Und ich fand das eine ganz hervorragende Idee und habe das dann auch sofort gemacht und wurde auch genommen.
00:08:13.009	SPEAKER_01	Und das war dann der Sprung nach München.
00:08:18.863	SPEAKER_01	Ich habe 1972 die Meisterprüfung gemacht und das muss dann 1974 gewesen sein.
00:08:23.771	SPEAKER_01	Und da bin ich dann in Münze gelandet.
