IN	SPEAKER	TRANSCRIPT
00:00:00.708	SPEAKER_02	Okay, gut.
00:00:02.430	SPEAKER_02	Jetzt müsste ich es eigentlich aufnehmen.
00:00:03.750	SPEAKER_02	Genau, Hermann, es geht darum, dass wir nochmal genauer die Zeit um die Frauenstraße 24, also 70er, 80er Jahre in Münster etwas genauer beleuchten,
00:00:15.517	SPEAKER_02	aber vorab.
00:00:18.551	SPEAKER_02	Wäre es schön, wenn du auch nochmal deine Lebensgeschichte erzählst.
00:00:21.657	SPEAKER_02	Wo kommst du her?
00:00:22.498	SPEAKER_02	Aus welchen Verhältnissen stammst du?
00:00:25.041	SPEAKER_02	Und wie bist du nach Münster gekommen?
00:00:27.144	SPEAKER_02	Ja, und dann kommen wir auch irgendwann zur Frauenstraße nochmal.
00:00:29.667	SPEAKER_02	Wie bist du in Kontakt dazu gekommen?
00:00:32.531	SPEAKER_02	Aber vielleicht fängst du einfach mal an zu erzählen, was dir wichtig ist.
00:00:36.914	SPEAKER_03	Ja, also ich bin geboren worden in Kloster Oesere.
00:00:41.354	SPEAKER_03	Das ist ein kleines Dorf mit 4.000 bis 5.000 Einwohnern, zwölf Kilometer südlich von Osnabrück.
00:00:51.219	SPEAKER_03	Das ist eine sehr, sehr katholische Ecke.
00:00:56.383	SPEAKER_03	Das illustriert ganz gut das Wahlergebnis bei Kommunalwahlen.
00:01:00.746	SPEAKER_03	Da gewinnt die CDU oder gewann jedenfalls zu meiner Zeit 60 bis 70 Prozent der Stimmen.
00:01:08.652	SPEAKER_03	Also das ist eine sehr, sehr katholische Ecke.
00:01:14.055	SPEAKER_03	Der Name legt es ja auch nahe, ein katholisches Kloster.
00:01:19.200	SPEAKER_03	Das jetzt nur noch existiert mit zwei Nonnen.
00:01:25.984	SPEAKER_03	Es ist kein aktives oder kein lebendiges Kloster mehr.
00:01:30.947	SPEAKER_03	Und diese beiden Nonnen, die jetzt noch dort sind, das sind auch zwei Nonnen, die kommen aus Indien.
00:01:37.311	SPEAKER_03	Das ist also etwas sehr Fremdes in diesem Dorf.
00:01:41.114	SPEAKER_02	In welchem Jahr bist du gekommen?
00:01:42.781	SPEAKER_03	Ich bin im Jahr 1949 geboren worden, das ist am 31. März, also ich bin jetzt 72 Jahre alt.
00:01:52.906	SPEAKER_03	Und ganz in der Nähe von Kloster Oesede liegt Georgs Marienhütte.
00:02:01.210	SPEAKER_03	Und in Gierksmarienhütte gab es ein Stahlwerk von Klöckner.
00:02:07.415	SPEAKER_03	Dieses Stahlwerk ist dort gebaut worden, weil es ganz in der Nähe im Teutoburger Wald Erzvorkommen gab.
00:02:14.320	SPEAKER_03	Und diese Erzvorkommen wurden dann halt genutzt zur Stahlproduktion.
00:02:19.284	SPEAKER_03	Und die meisten Bewohner in Kloster Oeselte arbeiteten bei Klöckner.
00:02:26.128	SPEAKER_03	Mein Vater auch und meine Brüder.
00:02:28.830	SPEAKER_03	Ich habe drei Brüder und von diesen drei Brüdern arbeiteten auch zwei bei Klöckner.
00:02:35.191	SPEAKER_03	Mein Vater war Schlosser, Schmied.
00:02:38.731	SPEAKER_03	Der ist 1912 geboren worden und hat den Zweiten Weltkrieg mitgemacht, war in Griechenland.
00:02:50.765	SPEAKER_03	Und kam wieder als Schwerkriegsbeschädigter.
00:02:54.688	SPEAKER_03	Der hatte eine Malaria sich in Griechenland gefangen und eine Hirnhautentzündung im Folge der Malaria.
00:03:05.637	SPEAKER_03	Der hat dann zunächst noch bei Klöckner gearbeitet, wenige Jahre, als Schmiedschlosser.
00:03:14.489	SPEAKER_03	Lag ja auch nahe, und dann konnte er diese Aufgaben nicht mehr erfüllen und wurde, wie das so schön hieß damals, was ich immer sehr abwertend fand,
00:03:28.854	SPEAKER_03	Budenwärter.
00:03:32.344	SPEAKER_03	Budenwärter waren Menschen, die die Pausen der Arbeiterschaft gestalteten.
00:03:43.437	SPEAKER_03	Das heißt, die mussten Kaffee kochen und mussten die Bude sauber halten.
00:03:50.163	SPEAKER_03	Und das hat mein Vater bis 1956 gemacht.
00:03:55.332	SPEAKER_03	Da war ich also sieben Jahre alt und dann ist er ganz ausgeschieden.
00:04:01.274	SPEAKER_03	Der konnte also gar nicht mehr arbeiten, weil sein Sprachvermögen ließ nach, seine rechtseitige Lähmung, die auch in der Folge dieser Hirnhautentzündung aufgetreten war,
00:04:17.378	SPEAKER_03	verstärkte sich.
