IN	SPEAKER	TRANSCRIPT
00:00:00.530	SPEAKER_00	Okay, jetzt läuft's weiter.
00:00:02.491	SPEAKER_01	Super.
00:00:03.112	SPEAKER_00	Wir waren stehen geblieben bei den Erfolgsfaktoren.
00:00:06.116	SPEAKER_01	Genau.
00:00:07.038	SPEAKER_00	Also... Nee, nicht bei den Erfolgsfaktoren.
00:00:10.301	SPEAKER_01	Sondern was das für mich bedeutet.
00:00:13.605	SPEAKER_01	Genau, was das für mich bedeutet.
00:00:15.028	SPEAKER_01	Und...
00:00:17.469	SPEAKER_01	Also es gibt ja sozusagen solche Schlüsselerlebnisse, so würde ich das mal nennen.
00:00:25.094	SPEAKER_01	Und diese Erfahrung in der Frauenstraße, das war ein Schlüsselerlebnis.
00:00:30.138	SPEAKER_01	Das war ein Schlüsselerlebnis.
00:00:32.119	SPEAKER_01	Ich habe zum ersten Mal das Gefühl gehabt, ich habe einen gesellschaftlichen Widerspruch erlebt.
00:00:38.206	SPEAKER_01	Nämlich, dass die Versprechungen und die Reden über...
00:00:47.814	SPEAKER_01	Genügend Wohnraum und jeder kann eine Wohnung bekommen oder das Gefühl vielleicht, was ich vorher auch hatte, dass man problemlos immer eine Wohnung bekommen kann,
00:01:00.899	SPEAKER_01	wenn man eine Wohnung benötigt.
00:01:03.508	SPEAKER_01	Ich habe an der Frauenstraße und in Münster erlebt, dass das überhaupt nicht der Fall ist.
00:01:08.891	SPEAKER_01	Sondern dass Wohnen ein ganz knappes Gut ist, das künstlich verknappt wird und dass es ein gesellschaftlicher Widerspruch ist,
00:01:17.091	SPEAKER_01	dass Wohnen nicht als ein menschliches Bedürfnis betrachtet wird, sondern als eine Ware.
00:01:22.944	SPEAKER_01	Und ich habe zum ersten Mal das Gefühl gehabt, ja, Wohnung ist wie ein Pfund Fleisch eine Ware, die wird verkauft.
00:01:33.493	SPEAKER_01	Zwar gewinnbringend verkauft.
00:01:35.716	SPEAKER_01	Und das fand ich mit meinem Hintergrund, ich fand das so empörend.
00:01:43.174	SPEAKER_01	Dass das ein ganz wichtiges Motiv war, mich weiter politisch zu engagieren und natürlich auch mich inhaltlich mit bestimmten Fragen zu beschäftigen.
00:01:53.382	SPEAKER_01	Zum Beispiel, ich weiß nicht, ob das heute noch gelesen wird, aber die Wohnungsfrage von Engels, das fand ich einfach total interessant.
00:02:02.768	SPEAKER_01	Und dass es eben kein neues Phänomen ist, sondern dass es zu der Gesellschaftsordnung des Kapitalismus der knappe Wohnraum gehört.
00:02:14.036	SPEAKER_01	Weil es einfach eine Ware ist.
00:02:16.038	SPEAKER_01	Und das habe ich gelernt.
00:02:17.158	SPEAKER_01	Und das war natürlich ein Packende, was ganz viele andere Dinge nach sich gezogen hat.
00:02:29.747	SPEAKER_01	Da bin ich so richtig reingekommen in die Auseinandersetzung, in gesellschaftliche Auseinandersetzung.
00:02:35.293	SPEAKER_01	Und das ist wirklich im wahrsten Sinne des Wortes eine Politisierung gewesen, die ich da erlebt habe.
00:02:43.711	SPEAKER_01	Und auf der Grundlage der meiner bis dahin erfolgten Entwicklung, weil ich das, wie gesagt, empörend, ich fand es als empörend.
00:02:55.687	SPEAKER_00	Wie ging es dann für dich weiter?
00:02:59.923	SPEAKER_01	Ja, ich habe mich dann in der Fachschaft engagiert.
00:03:05.746	SPEAKER_01	Ich habe mich beim SAB engagiert.
00:03:12.508	SPEAKER_01	Ich war dann im AStA, der Fachhochschule, längere Zeit.
00:03:20.072	SPEAKER_01	Und ich habe mich im Studium engagiert.
00:03:23.092	SPEAKER_01	Zum Beispiel mit dem gesellschaftswissenschaftlichen Grundstudium beschäftigt, mit Histomat und politischer Ökonomie und Und solchen Fragen,
00:03:36.378	SPEAKER_01	ja.
00:03:36.777	SPEAKER_01	Für mich wurde vor allen Dingen der historische Zugang zu Fragestellungen immer, also welche Voraussetzungen gibt es eigentlich für bestimmte Probleme?
00:03:47.383	SPEAKER_01	Und das sind ja natürlich historische Voraussetzungen.
00:03:51.084	SPEAKER_01	Und so die Geschichte hat für mich einen ganz neuen Stellenwert bekommen.
00:03:56.900	SPEAKER_00	Und wie ging es dann mit dir persönlich beruflich und so weiter?
00:04:01.484	SPEAKER_01	Ja, beruflich, also ich habe dann mein Studium abgeschlossen und bin dann über Umwege in die Weiterbildung geraten.
00:04:14.774	SPEAKER_01	Also ich war Leiter der Familienbildungsstätte in Greven-Emsdetten, der katholischen Familienbildungsstätte.
00:04:23.791	SPEAKER_01	Und bin von da in die Volkshochschule gewechselt und bin dann noch mal für acht, neun Jahre VHS-Leiter gewesen.
00:04:37.098	SPEAKER_00	In Fellbert?
00:04:37.978	SPEAKER_01	In Fellbert, ja.
00:04:41.939	SPEAKER_00	Gut.
00:04:42.160	SPEAKER_00	Du hast Familienkind.
00:04:46.882	SPEAKER_01	Ja.
00:04:49.137	SPEAKER_00	Vielleicht auch noch ganz kurz.
00:04:50.678	SPEAKER_01	Ja, also ich habe während meines Studiums, nein, nach meinem Studium habe ich geheiratet und habe auch dann relativ unmittelbar eine Tochter bekommen und habe mich dann getrennt,
00:05:04.652	SPEAKER_01	habe mich dann scheiden lassen und lebe seit 1979 erst in Mülheim an der Ruhr und dann in Essen.
00:05:19.987	SPEAKER_00	Ja, gibt es noch etwas, was dir jetzt wichtig ist?
00:05:24.975	SPEAKER_00	Was du noch sagen möchtest zu dem ganzen Thema, auch nochmal zur Frauenstraße oder zu dem Wohnungsthema?
00:05:36.684	SPEAKER_01	Ja, das ist natürlich sehr wünschenswert wäre, wenn dieses, also nein, ich fange das mal anders an.
00:05:47.228	SPEAKER_01	Das, was jetzt vorgesehen ist mit dem Jubiläum, ich glaube, das hat so eine brennende, also wirklich eine brennende, spürbare,
00:05:56.893	SPEAKER_01	brennende Aktualität, weil es wieder diese extreme Wohnungsnot in den Städten gibt und natürlich auch in Münster.
00:06:06.718	SPEAKER_01	Und darum hoffe ich nur, dass dieses positive Beispiel Frauenstraße, dass das noch viel, viel mehr Strahlkraft bekommt, als es ohnehin schon hat.
00:06:18.721	SPEAKER_01	Aber dadurch wird es ja noch mal deutlich bekannter durch die ganzen Aktivitäten, die jetzt laufen.
00:06:24.543	SPEAKER_01	Also die Strahlkraft kann gar nicht groß genug sein, dieses Projekts.
00:06:29.266	SPEAKER_00	Ja, gut.
00:06:30.627	SPEAKER_00	Dann danke ich dir und wir werden dann das, was
