IN	SPEAKER	TRANSCRIPT
00:00:00.049	SPEAKER_00	Nein, jede Menge Folgen nachdenken.
00:00:03.051	SPEAKER_02	Der Maas ja auch.
00:00:04.211	SPEAKER_00	Ja, der ist Weimarer.
00:00:05.491	SPEAKER_00	Das ist ein bisschen, hab ich so ein bisschen Gewöhnungsbedürftige mit der FDP.
00:00:10.314	SPEAKER_00	Das würde ich zum Beispiel nicht machen.
00:00:11.996	SPEAKER_00	Also die Aufnahme läuft schon?
00:00:15.378	SPEAKER_00	Läuft schon, ja.
00:00:16.638	SPEAKER_00	Willst du was dazu sagen, wo hoffe ich mich an?
00:00:19.239	SPEAKER_00	Ja, genau.
00:00:21.681	SPEAKER_01	Ja, erstmal herzlichen Dank, dass du dich für das Interview bereit erklärt hast.
00:00:27.582	SPEAKER_01	Ich hatte dir ja geschrieben.
00:00:28.481	SPEAKER_01	Gibt es welche, die machen das nicht oder was?
00:00:31.542	SPEAKER_01	Ist ja nicht selbstverständlich, dass man da seine Zeit dann auch so bereitstellt.
00:00:37.723	SPEAKER_01	Und es sind ja biografische Interviews, das hatte ich dir ja auch gesagt, für das Archiv Deutsches Gedächtnis.
00:00:46.426	SPEAKER_01	Das ist ein Institut der Fernuniversität Hagen.
00:00:52.009	SPEAKER_01	Die sehr viele Interviews sammeln und für Forschungszwecke dann aufbewahren und auch weiter verwerten.
00:01:00.073	SPEAKER_00	Hängen die irgendwie auch zusammen mit diesen Ostleuten, die da so ein Archiv haben mit Biografien?
00:01:06.697	SPEAKER_00	Oder kennst du das nicht?
00:01:07.879	SPEAKER_00	Das kann ich Ihnen nicht so genau sagen.
00:01:10.659	SPEAKER_00	Ich weiß, dass die Memoiren von meinem Onkel...
00:01:16.558	SPEAKER_00	Ich habe ja meine ganze Familie, die ist von drüben, die kommt nicht, sondern die ist drüben geblieben, das ist ein A89.
00:01:22.981	SPEAKER_00	Und nur der kleinere Teil ist in den Westen gegangen.
00:01:29.465	SPEAKER_00	Der hat auch so ein selbst gehäkeltes Ding insgeschrieben, voluminös, 500 Seiten oder was weiß ich.
00:01:37.469	SPEAKER_00	Und der hat das in so eine Sammelstelle für ostdeutsche Biografien, da ist der Leitgedanke der zu sagen, was habt ihr in eurem Leben erlebt,
00:01:46.266	SPEAKER_00	wie habt ihr das verarbeitet, das wird so gesammelt.
00:01:49.615	SPEAKER_03	Ja, genau.
00:01:50.596	SPEAKER_00	So, und ich wollte nur, weil du das beschrieben hast, es gibt ja mehrere solcher Ansätze, wäre es ja erstmal wichtig, Universität klingt natürlich immer ein bisschen besser,
00:01:58.416	SPEAKER_00	dass man das erstmal registriert und mal guckt, was machen die eigentlich da draußen, was ist da im Ansatz, außer wir bewahren.
00:02:04.222	SPEAKER_00	Gut, aber das war jetzt nur nebenher.
00:02:06.483	SPEAKER_01	Genau, und in dem Zusammenhang würde ich auch sagen, es geht ja im Grunde noch um die 70er, 80er Jahre in Münster, als es auch um die Frauenstraße ging.
00:02:16.027	SPEAKER_01	Und natürlich auch die Auseinandersetzungen an der Uni und in der Stadt.
00:02:20.489	SPEAKER_01	Aber zunächst würde ich ganz gerne deine persönliche Geschichte hören.
00:02:24.070	SPEAKER_01	Also wie und wo bist du aufgewachsen, wann nach Münster gekommen und wann und wie mit der Frauenstraße in Kontakt gekommen.
00:02:32.794	SPEAKER_01	Und Wie ging es dann auch weiter, also dass du das zunächst erzählst und wir dann im zweiten Teil auf die Frauenstraße ganz speziell kommen?
00:02:43.750	SPEAKER_00	Ach ja, das ist natürlich jetzt, das ist ja schon sehr persönlich, aber mal gucken, wie viel man da jetzt drauf lässt.
00:02:48.954	SPEAKER_00	Das ist schon alles du.
00:02:50.055	SPEAKER_00	Ja, das ist mir schon, also das ist kein Vorwurf, aber es ist einfach dann auch vielleicht alles zu lang.
00:02:57.139	SPEAKER_00	Kann das alles so bleiben mit der Brille oder so, oder ist das nichts, dann fängst du da weg, das ist heute nichts.
00:03:03.073	SPEAKER_00	Also, persönlich fangen wir mit dem Anfang, das heißt mit der Geburt an.
00:03:11.716	SPEAKER_00	Also in den Übungen, die ich selbst mal ab und zu mache, beim Schreiben von Memoiren oder so, ist der allererste Satz immer,
00:03:22.182	SPEAKER_00	ich bin ungefragt zur Welt gekommen.
00:03:25.346	SPEAKER_00	Das heißt, im deutschen bürgerlichen Gesetzbuch, ich bin ein unheiliges Kind.
00:03:32.911	SPEAKER_00	Der Vater ist unbekannt.
00:03:35.272	SPEAKER_00	Vor ein paar Jahren habe ich sogar seinen Namen rausgekriegt.
00:03:38.794	SPEAKER_00	Das war ein Tscheche, der dienstverpflichtet war in der Nähe von Stettin und der dann meine Mutter zu Selbigen gemacht hat.
00:03:50.397	SPEAKER_00	Danach hat es wieder keinen Kontakt gegeben.
00:03:52.578	SPEAKER_00	Ich bin aufgewachsen nur bei ihr bzw. bei ihren Eltern, meinen Großeltern.
00:03:58.740	SPEAKER_00	Und zwar im Westen, weil sie sich auf die Flucht begeben haben im März 1945.
00:04:07.882	SPEAKER_00	Und so bin ich erst nach Oldenburg und dann nach Münster gekommen.
00:04:11.625	SPEAKER_01	Wann bist du geboren?
00:04:13.467	SPEAKER_XX	1945.
00:04:13.507	SPEAKER_00	Achso, das habe ich vorausgesetzt.
00:04:15.329	SPEAKER_00	Das ist Quatsch.
00:04:16.228	SPEAKER_00	Am Krieg, also genau am Kriegsende.
00:04:18.632	SPEAKER_00	Und dann bin ich erst nach Oldenburg.
00:04:21.894	SPEAKER_00	In Oldenburg bin ich selbst geboren.
00:04:23.596	SPEAKER_00	Also standesamtlich dann registriert worden.
00:04:26.418	SPEAKER_00	Und bin dann 1954 nach Münster gekommen, da war ich noch auf der Volksschule, wie man damals sagte, und habe dann von 1956 bis 1965 das Schülergymnasium hier in Münster besucht,
00:04:42.881	SPEAKER_00	bin dann anschließend zur Bundeswehr eingezogen worden, 18 Monate, wie es damals üblich war, und habe dann in 66, 67 angefangen Münster zu studieren.
00:04:56.872	SPEAKER_00	Geschichte, osteuropäische Geschichte und Sklavistik, das war Und war zu diesem Zeitpunkt schon ziemlich politisiert durch den Vietnamkrieg und verschiedene andere Dinge.
00:05:10.906	SPEAKER_00	War schon Mitglied der SPD in 1966 und bin dann über den SAB in den SDS eingetreten.
00:05:18.887	SPEAKER_00	Das hatte den angenehmen Nebeneffekt gehabt, dass ich aus der SPD ohne große eigene Mühe wieder ausgetreten worden bin.
00:05:28.869	SPEAKER_00	Und bin dann ab 1969 Mitglied der DKP geworden.
00:05:34.432	SPEAKER_00	So, das ist in der Kürze diese politische Biografie.
00:05:37.815	SPEAKER_00	Der ausschlaggebende Punkt für die DKP-Mitgliedschaft war der Kontakt zu Professoren in der DDR, in der Mathematik-Universität Halle.
00:05:47.389	SPEAKER_00	Mit denen hatten wir mit so einer kleinen Gruppe vom Rest-STS in anderen Linken Schulungen gemacht, zu Kapital, also diese klassische Geschichte,
00:05:56.578	SPEAKER_00	wie man sich früher das alles aneignete.
00:05:59.235	SPEAKER_00	Und dann bin ich, wie gesagt, in die DKP eingetreten und habe dann in der Tätigkeit einen ziemlich großen Anteil gehabt am Aufbau der Parteiorganisation hier in Münster,
00:06:09.639	SPEAKER_00	vor allen Dingen auch an der Hochschule.
00:06:14.125	SPEAKER_00	Das war im Grunde genommen die politische Kurzform.
00:06:20.329	SPEAKER_00	Gearbeitet habe ich das, was die wenigsten wissen, was auch, glaube ich, auch nie so eine große Rolle gespielt hat, interessanterweise.
00:06:27.755	SPEAKER_00	Gearbeitet habe ich seit 1968 in einem Forschungsprojekt in der osteuropäischen Geschichte.
00:06:35.060	SPEAKER_00	Das wurde von der Deutschen Forschungsgemeinschaft finanziert.
00:06:39.004	SPEAKER_00	Und weil das eine handverlesene Anstellung war von dem Professor und dem Forschungsleiter, habe ich da bezogen auch nie irgendwelche Schwierigkeiten gehabt,
00:06:49.681	SPEAKER_00	weil das waren private Arbeitsverträge und das ist dann so durchgegangen.
00:06:54.927	SPEAKER_00	Und das Thema war dort frühmittelalterliche Geschichte.
00:06:59.488	SPEAKER_00	Also bis 900 haben wir lateinische Quellen gelesen und ausgewertet auf ihre Aussagen zu osteuropäischen Ereignissen, Namen und was auch immer da ist.
00:07:11.932	SPEAKER_00	Das will ich jetzt nicht ausführen.
